Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,,Point Format,Y
Horizontal Units,S,,,,Horizontal Units,S
Horizontal Scale,2e-05,,,,Horizontal Scale,0.0002
Sample Interval,0,,,,Sample Interval,1.6e-06
Filter Frequency,2e+08,,,,Filter Frequency,2e+08
Record Length,2000,,,,Record Length,2000
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,,Vertical Offset,0
Vertical Scale,1,1,1,,Vertical Scale,0.02
Label,,,,,Label,
TIME,CH1,CH2,CH3,,TIME,REF1
-5.00000000000e-04,-4.76,2.44,2.76,,2.906e-03,-0.0236
-5.00000000000e-04,-4.68,2.44,2.76,,2.907e-03,-0.0228
-5.00000000000e-04,-4.6,2.44,2.76,,2.909e-03,-0.022
-5.00000000000e-04,-4.52,2.4,2.76,,2.910e-03,-0.022
-5.00000000000e-04,-4.52,2.4,2.8,,2.912e-03,-0.0212
-5.00000000000e-04,-4.48,2.4,2.76,,2.914e-03,-0.0204
-5.00000000000e-04,-4.44,2.36,2.76,,2.915e-03,-0.0204
-5.00000000000e-04,-4.44,2.36,2.76,,2.917e-03,-0.0196
-5.00000000000e-04,-4.48,2.36,2.76,,2.918e-03,-0.0196
-5.00000000000e-04,-4.56,2.36,2.76,,2.920e-03,-0.018
-5.00000000000e-04,-4.64,2.32,2.76,,2.922e-03,-0.0188
-5.00000000000e-04,-4.72,2.32,2.76,,2.923e-03,-0.0172
-5.00000000000e-04,-4.8,2.32,2.76,,2.925e-03,-0.0172
-5.00000000000e-04,-4.84,2.28,2.72,,2.926e-03,-0.0164
-5.00000000000e-04,-4.88,2.28,2.76,,2.928e-03,-0.0156
-5.00000000000e-04,-4.92,2.24,2.76,,2.930e-03,-0.0156
-5.00000000000e-04,-4.92,2.24,2.76,,2.931e-03,-0.0156
-5.00000000000e-04,-4.92,2.24,2.8,,2.933e-03,-0.014
-5.00000000000e-04,-5,2.24,2.8,,2.934e-03,-0.014
-5.00000000000e-04,-4.96,2.2,2.76,,2.936e-03,-0.0132
-5.00000000000e-04,-4.96,2.16,2.76,,2.938e-03,-0.0132
-5.00000000000e-04,-4.96,2.16,2.76,,2.939e-03,-0.0124
-5.00000000000e-04,-4.96,2.16,2.76,,2.941e-03,-0.0116
-5.00000000000e-04,-4.96,2.16,2.8,,2.942e-03,-0.0116
-5.00000000000e-04,-5,2.16,2.76,,2.944e-03,-0.0108
-5.00000000000e-04,-4.96,2.12,2.76,,2.946e-03,-0.0108
-5.00000000000e-04,-5,2.12,2.76,,2.947e-03,-0.0108
-5.00000000000e-04,-5,2.12,2.76,,2.949e-03,-0.01
-5.00000000000e-04,-5,2.08,2.76,,2.950e-03,-0.0092
-5.00000000000e-04,-5,2.04,2.8,,2.952e-03,-0.0092
-5.00000000000e-04,-5,2.04,2.76,,2.954e-03,-0.0084
-5.00000000000e-04,-5,2.04,2.76,,2.955e-03,-0.0084
-5.00000000000e-04,-4.96,2.04,2.8,,2.957e-03,-0.0076
-5.00000000000e-04,-5,2.04,2.8,,2.958e-03,-0.0068
-5.00000000000e-04,-4.96,2,2.76,,2.960e-03,-0.0068
-5.00000000000e-04,-5,2,2.76,,2.962e-03,-0.0068
-5.00000000000e-04,-5,2,2.8,,2.963e-03,-0.0052
-5.00000000000e-04,-5,1.96,2.8,,2.965e-03,-0.0052
-5.00000000000e-04,-5,1.96,2.76,,2.966e-03,-0.0052
-5.00000000000e-04,-5,1.92,2.8,,2.968e-03,-0.0036
-5.00000000000e-04,-5,1.92,2.76,,2.970e-03,-0.0044
-5.00000000000e-04,-5,1.88,2.76,,2.971e-03,-0.0028
-5.00000000000e-04,-5,1.88,2.76,,2.973e-03,-0.0028
-5.00000000000e-04,-4.96,1.88,2.8,,2.974e-03,-0.002
-5.00000000000e-04,-5,1.84,2.76,,2.976e-03,-0.002
-5.00000000000e-04,-5,1.8,2.76,,2.978e-03,-0.0012
-5.00000000000e-04,-5,1.84,2.8,,2.979e-03,-0.0012
-5.00000000000e-04,-5,1.8,2.8,,2.981e-03,-0.0004
-5.00000000000e-04,-5,1.8,2.8,,2.982e-03,-0.0004
-5.00000000000e-04,-5,1.76,2.8,,2.984e-03,0.0004
-5.00000000000e-04,-5,1.76,2.8,,2.986e-03,0.0004
-5.00000000000e-04,-5,1.72,2.8,,2.987e-03,0.0012
-5.00000000000e-04,-5,1.72,2.8,,2.989e-03,0.002
-5.00000000000e-04,-5,1.72,2.8,,2.990e-03,0.002
-5.00000000000e-04,-5,1.68,2.8,,2.992e-03,0.0028
-5.00000000000e-04,-5,1.68,2.8,,2.994e-03,0.0036
-5.00000000000e-04,-5,1.64,2.76,,2.995e-03,0.0036
-5.00000000000e-04,-5,1.64,2.76,,2.997e-03,0.0044
-5.00000000000e-04,-5,1.64,2.8,,2.998e-03,0.0044
-5.00000000000e-04,-5,1.6,2.8,,3.000e-03,0.0044
-5.00000000000e-04,-5,1.6,2.8,,3.002e-03,0.006
-5.00000000000e-04,-5,1.56,2.8,,3.003e-03,0.006
-5.00000000000e-04,-5,1.56,2.8,,3.005e-03,0.006
-5.00000000000e-04,-5,1.56,2.8,,3.006e-03,0.006
-5.00000000000e-04,-4.96,1.52,2.76,,3.008e-03,0.0068
-5.00000000000e-04,-5,1.48,2.76,,3.010e-03,0.0076
-5.00000000000e-04,-5,1.48,2.76,,3.011e-03,0.0076
-5.00000000000e-04,-5,1.48,2.8,,3.013e-03,0.0076
-5.00000000000e-04,-5,1.44,2.76,,3.014e-03,0.0076
-5.00000000000e-04,-5,1.44,2.76,,3.016e-03,0.0076
-5.00000000000e-04,-5,1.4,2.8,,3.018e-03,0.0092
-5.00000000000e-04,-5,1.36,2.8,,3.019e-03,0.0092
-5.00000000000e-04,-5,1.4,2.8,,3.021e-03,0.0092
-5.00000000000e-04,-5,1.36,2.8,,3.022e-03,0.01
-5.00000000000e-04,-5,1.36,2.8,,3.024e-03,0.01
-5.00000000000e-04,-5,1.32,2.8,,3.026e-03,0.0108
-5.00000000000e-04,-5,1.32,2.8,,3.027e-03,0.0108
-5.00000000000e-04,-5,1.28,2.8,,3.029e-03,0.0108
-5.00000000000e-04,-5,1.28,2.8,,3.030e-03,0.0116
-5.00000000000e-04,-5,1.24,2.8,,3.032e-03,0.0116
-5.00000000000e-04,-5,1.24,2.8,,3.034e-03,0.0116
-5.00000000000e-04,-5,1.2,2.8,,3.035e-03,0.0124
-5.00000000000e-04,-5,1.2,2.8,,3.037e-03,0.0124
-5.00000000000e-04,-5,1.16,2.8,,3.038e-03,0.0124
-5.00000000000e-04,-4.96,1.16,2.8,,3.040e-03,0.0132
-5.00000000000e-04,-5,1.12,2.8,,3.042e-03,0.0132
-5.00000000000e-04,-4.96,1.08,2.8,,3.043e-03,0.014
-5.00000000000e-04,-4.96,1.08,2.8,,3.045e-03,0.014
-5.00000000000e-04,-5,1.04,2.8,,3.046e-03,0.014
-5.00000000000e-04,-5,1.04,2.8,,3.048e-03,0.014
-5.00000000000e-04,-5,1.04,2.8,,3.050e-03,0.0148
-5.00000000000e-04,-5,1,2.8,,3.051e-03,0.0148
-5.00000000000e-04,-5,0.96,2.8,,3.053e-03,0.0156
-5.00000000000e-04,-5,0.96,2.8,,3.054e-03,0.0156
-5.00000000000e-04,-5,0.96,2.8,,3.056e-03,0.0156
-5.00000000000e-04,-5,0.92,2.8,,3.058e-03,0.0156
-5.00000000000e-04,-5,0.92,2.8,,3.059e-03,0.0164
-5.00000000000e-04,-5,0.88,2.8,,3.061e-03,0.0164
-5.00000000000e-04,-5,0.84,2.8,,3.062e-03,0.0172
-5.00000000000e-04,-5,0.84,2.8,,3.064e-03,0.0164
-5.00000000000e-04,-5,0.8,2.8,,3.066e-03,0.018
-5.00000000000e-04,-5,0.8,2.8,,3.067e-03,0.018
-5.00000000000e-04,-5,0.76,2.76,,3.069e-03,0.018
-5.00000000000e-04,-5,0.76,2.8,,3.070e-03,0.018
-5.00000000000e-04,-5,0.72,2.8,,3.072e-03,0.0188
-5.00000000000e-04,-5,0.68,2.8,,3.074e-03,0.0188
-5.00000000000e-04,-5,0.68,2.8,,3.075e-03,0.0196
-5.00000000000e-04,-5,0.64,2.8,,3.077e-03,0.0196
-5.00000000000e-04,-5,0.64,2.8,,3.078e-03,0.0196
-5.00000000000e-04,-5,0.6,2.8,,3.080e-03,0.0196
-5.00000000000e-04,-4.96,0.6,2.8,,3.082e-03,0.0204
-5.00000000000e-04,-5,0.56,2.8,,3.083e-03,0.0204
-5.00000000000e-04,-5,0.56,2.8,,3.085e-03,0.0204
-5.00000000000e-04,-5,0.52,2.8,,3.086e-03,0.0212
-5.00000000000e-04,-5,0.48,2.8,,3.088e-03,0.0204
-5.00000000000e-04,-5,0.48,2.8,,3.090e-03,0.0212
-5.00000000000e-04,-5,0.44,2.8,,3.091e-03,0.0212
-5.00000000000e-04,-4.96,0.44,2.8,,3.093e-03,0.0212
-5.00000000000e-04,-5,0.4,2.8,,3.094e-03,0.0212
-5.00000000000e-04,-5,0.4,2.8,,3.096e-03,0.022
-5.00000000000e-04,-5,0.36,2.8,,3.098e-03,0.022
-5.00000000000e-04,-5,0.36,2.8,,3.099e-03,0.0228
-5.00000000000e-04,-5,0.32,2.76,,3.101e-03,0.0228
-5.00000000000e-04,-5,0.28,2.8,,3.102e-03,0.0228
-5.00000000000e-04,-5,0.28,2.8,,3.104e-03,0.0228
-5.00000000000e-04,-5,0.24,2.8,,3.106e-03,0.0228
-5.00000000000e-04,-5,0.24,2.8,,3.107e-03,0.0236
-5.00000000000e-04,-5,0.2,2.8,,3.109e-03,0.0236
-5.00000000000e-04,-5,0.2,2.8,,3.110e-03,0.0236
-5.00000000000e-04,-5,0.16,2.8,,3.112e-03,0.0228
-5.00000000000e-04,-5,0.12,2.8,,3.114e-03,0.0236
-5.00000000000e-04,-5,0.12,2.8,,3.115e-03,0.0236
-5.00000000000e-04,-5,0.08,2.8,,3.117e-03,0.0244
-5.00000000000e-04,-5,0.08,2.8,,3.118e-03,0.0244
-5.00000000000e-04,-5,0.04,2.8,,3.120e-03,0.0244
-5.00000000000e-04,-5,0.04,2.8,,3.122e-03,0.0244
-5.00000000000e-04,-5,-0.04,2.8,,3.123e-03,0.0244
-5.00000000000e-04,-4.96,0,2.8,,3.125e-03,0.0244
-5.00000000000e-04,-5,-0.04,2.8,,3.126e-03,0.0244
-5.00000000000e-04,-5,-0.12,2.8,,3.128e-03,0.0252
-5.00000000000e-04,-5,-0.08,2.8,,3.130e-03,0.0252
-5.00000000000e-04,-5,-0.12,2.8,,3.131e-03,0.0244
-5.00000000000e-04,-5,-0.16,2.8,,3.133e-03,0.0252
-5.00000000000e-04,-5,-0.16,2.8,,3.134e-03,0.0252
-5.00000000000e-04,-5,-0.2,2.8,,3.136e-03,0.026
-5.00000000000e-04,-4.96,-0.24,2.84,,3.138e-03,0.026
-5.00000000000e-04,-5,-0.24,2.8,,3.139e-03,0.026
-5.00000000000e-04,-5,-0.24,2.8,,3.141e-03,0.026
-5.00000000000e-04,-5,-0.28,2.8,,3.142e-03,0.0252
-5.00000000000e-04,-5,-0.32,2.8,,3.144e-03,0.026
-5.00000000000e-04,-5,-0.32,2.8,,3.146e-03,0.026
-5.00000000000e-04,-5.04,-0.36,2.8,,3.147e-03,0.0268
-5.00000000000e-04,-5,-0.4,2.8,,3.149e-03,0.0268
-5.00000000000e-04,-5,-0.4,2.8,,3.150e-03,0.0268
-5.00000000000e-04,-5,-0.44,2.8,,3.152e-03,0.0268
-5.00000000000e-04,-5,-0.44,2.8,,3.154e-03,0.0268
-5.00000000000e-04,-5,-0.48,2.8,,3.155e-03,0.0268
-5.00000000000e-04,-5,-0.52,2.8,,3.157e-03,0.0268
-5.00000000000e-04,-5,-0.56,2.8,,3.158e-03,0.0268
-5.00000000000e-04,-5,-0.56,2.8,,3.160e-03,0.0268
-5.00000000000e-04,-4.96,-0.6,2.8,,3.162e-03,0.0276
-5.00000000000e-04,-5,-0.6,2.8,,3.163e-03,0.0276
-5.00000000000e-04,-5,-0.64,2.8,,3.165e-03,0.0276
-5.00000000000e-04,-5,-0.68,2.8,,3.166e-03,0.0276
-5.00000000000e-04,-5,-0.68,2.8,,3.168e-03,0.0276
-5.00000000000e-04,-5,-0.72,2.8,,3.170e-03,0.0276
-5.00000000000e-04,-5,-0.76,2.8,,3.171e-03,0.0276
-5.00000000000e-04,-5,-0.76,2.8,,3.173e-03,0.0276
-5.00000000000e-04,-5,-0.8,2.8,,3.174e-03,0.0284
-5.00000000000e-04,-5,-0.8,2.8,,3.176e-03,0.0284
-5.00000000000e-04,-5,-0.84,2.84,,3.178e-03,0.0284
-5.00000000000e-04,-5,-0.88,2.8,,3.179e-03,0.0284
-5.00000000000e-04,-5,-0.88,2.8,,3.181e-03,0.0284
-5.00000000000e-04,-5,-0.92,2.8,,3.182e-03,0.0284
-5.00000000000e-04,-5,-0.96,2.8,,3.184e-03,0.0284
-5.00000000000e-04,-5,-0.96,2.8,,3.186e-03,0.0284
-5.00000000000e-04,-5,-1,2.8,,3.187e-03,0.0292
-5.00000000000e-04,-5,-1.04,2.8,,3.189e-03,0.0284
-5.00000000000e-04,-5,-1.08,2.8,,3.190e-03,0.0292
-5.00000000000e-04,-5,-1.08,2.8,,3.192e-03,0.0284
-5.00000000000e-04,-4.96,-1.12,2.8,,3.194e-03,0.0292
-5.00000000000e-04,-5,-1.16,2.8,,3.195e-03,0.0292
-5.00000000000e-04,-5,-1.16,2.8,,3.197e-03,0.0292
-5.00000000000e-04,-5,-1.2,2.84,,3.198e-03,0.0292
-5.00000000000e-04,-5,-1.24,2.84,,3.200e-03,0.0292
-5.00000000000e-04,-5,-1.28,2.8,,3.202e-03,0.0292
-5.00000000000e-04,-5,-1.28,2.8,,3.203e-03,0.0292
-5.00000000000e-04,-5,-1.32,2.8,,3.205e-03,0.0292
-5.00000000000e-04,-5,-1.32,2.8,,3.206e-03,0.0292
-5.00000000000e-04,-5,-1.36,2.8,,3.208e-03,0.0292
-5.00000000000e-04,-5,-1.4,2.84,,3.210e-03,0.03
-5.00000000000e-04,-5,-1.44,2.84,,3.211e-03,0.0292
-5.00000000000e-04,-5,-1.44,2.84,,3.213e-03,0.0292
-5.00000000000e-04,-5,-1.48,2.8,,3.214e-03,0.03
-5.00000000000e-04,-5,-1.52,2.84,,3.216e-03,0.03
-5.00000000000e-04,-5,-1.56,2.84,,3.218e-03,0.03
-5.00000000000e-04,-5,-1.56,2.84,,3.219e-03,0.03
-5.00000000000e-04,-5,-1.6,2.8,,3.221e-03,0.03
-5.00000000000e-04,-4.96,-1.64,2.84,,3.222e-03,0.0292
-5.00000000000e-04,-4.96,-1.64,2.8,,3.224e-03,0.03
-5.00000000000e-04,-5,-1.68,2.8,,3.226e-03,0.03
-5.00000000000e-04,-5,-1.72,2.8,,3.227e-03,0.03
-5.00000000000e-04,-5,-1.72,2.84,,3.229e-03,0.03
-5.00000000000e-04,-5,-1.76,2.84,,3.230e-03,0.03
-5.00000000000e-04,-5,-1.8,2.8,,3.232e-03,0.03
-5.00000000000e-04,-5,-1.8,2.84,,3.234e-03,0.03
-5.00000000000e-04,-5,-1.84,2.8,,3.235e-03,0.03
-5.00000000000e-04,-5,-1.88,2.84,,3.237e-03,0.0308
-5.00000000000e-04,-5,-1.92,2.8,,3.238e-03,0.03
-5.00000000000e-04,-5,-1.92,2.8,,3.240e-03,0.03
-5.00000000000e-04,-5,-2,2.8,,3.242e-03,0.03
-5.00000000000e-04,-5,-2,2.84,,3.243e-03,0.03
-5.00000000000e-04,-5,-2,2.8,,3.245e-03,0.03
-5.00000000000e-04,-5,-2.04,2.84,,3.246e-03,0.03
-5.00000000000e-04,-5,-2.12,2.84,,3.248e-03,0.03
-5.00000000000e-04,-5,-2.08,2.84,,3.250e-03,0.03
-5.00000000000e-04,-5,-2.12,2.8,,3.251e-03,0.03
-5.00000000000e-04,-5,-2.16,2.8,,3.253e-03,0.03
-5.00000000000e-04,-5,-2.2,2.84,,3.254e-03,0.03
-5.00000000000e-04,-5,-2.2,2.84,,3.256e-03,0.03
-5.00000000000e-04,-5,-2.24,2.84,,3.258e-03,0.03
-5.00000000000e-04,-5,-2.28,2.84,,3.259e-03,0.03
-5.00000000000e-04,-5,-2.28,2.84,,3.261e-03,0.0308
-5.00000000000e-04,-5,-2.32,2.84,,3.262e-03,0.0308
-5.00000000000e-04,-5,-2.32,2.84,,3.264e-03,0.0308
-5.00000000000e-04,-5,-2.36,2.8,,3.266e-03,0.03
-5.00000000000e-04,-5,-2.36,2.84,,3.267e-03,0.0308
-5.00000000000e-04,-4.96,-2.44,2.84,,3.269e-03,0.0308
-5.00000000000e-04,-5,-2.48,2.84,,3.270e-03,0.0308
-5.00000000000e-04,-5,-2.52,2.8,,3.272e-03,0.0308
-5.00000000000e-04,-5,-2.48,2.84,,3.274e-03,0.0308
-5.00000000000e-04,-5,-2.52,2.84,,3.275e-03,0.0308
-5.00000000000e-04,-5,-2.56,2.84,,3.277e-03,0.03
-5.00000000000e-04,-5,-2.6,2.8,,3.278e-03,0.0308
-5.00000000000e-04,-5,-2.6,2.84,,3.280e-03,0.0308
-5.00000000000e-04,-5,-2.64,2.84,,3.282e-03,0.0308
-5.00000000000e-04,-5,-2.64,2.84,,3.283e-03,0.0308
-5.00000000000e-04,-5,-2.68,2.84,,3.285e-03,0.0308
-5.00000000000e-04,-5,-2.72,2.84,,3.286e-03,0.0308
-5.00000000000e-04,-4.96,-2.76,2.84,,3.288e-03,0.0308
-5.00000000000e-04,-5,-2.76,2.84,,3.290e-03,0.0308
-5.00000000000e-04,-5,-2.8,2.84,,3.291e-03,0.0308
-5.00000000000e-04,-5,-2.8,2.84,,3.293e-03,0.0308
-5.00000000000e-04,-5,-2.84,2.8,,3.294e-03,0.03
-5.00000000000e-04,-5,-2.92,2.84,,3.296e-03,0.0308
-5.00000000000e-04,-5,-2.92,2.8,,3.298e-03,0.0308
-5.00000000000e-04,-5,-2.92,2.84,,3.299e-03,0.0308
-5.00000000000e-04,-5,-2.96,2.84,,3.301e-03,0.0308
-5.00000000000e-04,-5,-3,2.84,,3.302e-03,0.0308
-5.00000000000e-04,-5,-3,2.84,,3.304e-03,0.0308
-5.00000000000e-04,-5,-3.04,2.84,,3.306e-03,0.0308
-5.00000000000e-04,-5,-3.04,2.84,,3.307e-03,0.0308
-5.00000000000e-04,-5,-3.08,2.8,,3.309e-03,0.0308
-5.00000000000e-04,-5,-3.12,2.84,,3.310e-03,0.0308
-5.00000000000e-04,-5,-3.16,2.84,,3.312e-03,0.03
-5.00000000000e-04,-5,-3.16,2.84,,3.314e-03,0.0308
-5.00000000000e-04,-4.96,-3.2,2.84,,3.315e-03,0.0308
-5.00000000000e-04,-5,-3.2,2.84,,3.317e-03,0.0308
-5.00000000000e-04,-5,-3.24,2.84,,3.318e-03,0.0308
-5.00000000000e-04,-5,-3.24,2.84,,3.320e-03,0.0308
-5.00000000000e-04,-5,-3.28,2.84,,3.322e-03,0.0308
-5.00000000000e-04,-5,-3.32,2.84,,3.323e-03,0.03
-5.00000000000e-04,-5,-3.32,2.84,,3.325e-03,0.0308
-5.00000000000e-04,-5,-3.36,2.84,,3.326e-03,0.03
-5.00000000000e-04,-5,-3.4,2.8,,3.328e-03,0.0308
-5.00000000000e-04,-4.96,-3.44,2.84,,3.330e-03,0.0308
-5.00000000000e-04,-5,-3.44,2.84,,3.331e-03,0.03
-5.00000000000e-04,-5,-3.48,2.84,,3.333e-03,0.03
-5.00000000000e-04,-5,-3.52,2.84,,3.334e-03,0.0308
-5.00000000000e-04,-5,-3.52,2.84,,3.336e-03,0.0308
-5.00000000000e-04,-5,-3.56,2.84,,3.338e-03,0.03
-5.00000000000e-04,-5,-3.56,2.84,,3.339e-03,0.0308
-5.00000000000e-04,-5,-3.6,2.84,,3.341e-03,0.0308
-5.00000000000e-04,-5,-3.6,2.84,,3.342e-03,0.0308
-5.00000000000e-04,-5,-3.64,2.84,,3.344e-03,0.0308
-5.00000000000e-04,-5,-3.68,2.84,,3.346e-03,0.0308
-5.00000000000e-04,-5,-3.68,2.8,,3.347e-03,0.0308
-5.00000000000e-04,-5,-3.72,2.84,,3.349e-03,0.0308
-5.00000000000e-04,-5,-3.76,2.84,,3.350e-03,0.0308
-5.00000000000e-04,-4.96,-3.76,2.84,,3.352e-03,0.03
-5.00000000000e-04,-4.96,-3.8,2.84,,3.354e-03,0.03
-5.00000000000e-04,-5,-3.8,2.84,,3.355e-03,0.0308
-5.00000000000e-04,-4.96,-3.84,2.84,,3.357e-03,0.03
-5.00000000000e-04,-5,-3.84,2.84,,3.358e-03,0.0308
-5.00000000000e-04,-5,-3.88,2.84,,3.360e-03,0.0308
-5.00000000000e-04,-5,-3.92,2.84,,3.362e-03,0.0308
-5.00000000000e-04,-4.96,-3.92,2.84,,3.363e-03,0.0308
-5.00000000000e-04,-5,-3.96,2.84,,3.365e-03,0.0308
-5.00000000000e-04,-5,-4,2.84,,3.366e-03,0.03
-5.00000000000e-04,-5,-4,2.84,,3.368e-03,0.0308
-5.00000000000e-04,-5,-4.04,2.84,,3.370e-03,0.0308
-5.00000000000e-04,-5,-4.04,2.84,,3.371e-03,0.0308
-5.00000000000e-04,-4.96,-4.08,2.84,,3.373e-03,0.03
-5.00000000000e-04,-5,-4.08,2.84,,3.374e-03,0.0308
-5.00000000000e-04,-5,-4.12,2.84,,3.376e-03,0.0308
-5.00000000000e-04,-5,-4.12,2.84,,3.378e-03,0.03
-5.00000000000e-04,-5,-4.16,2.84,,3.379e-03,0.03
-5.00000000000e-04,-5,-4.16,2.84,,3.381e-03,0.0308
-5.00000000000e-04,-5,-4.2,2.84,,3.382e-03,0.03
-5.00000000000e-04,-5,-4.2,2.84,,3.384e-03,0.0308
-5.00000000000e-04,-5,-4.24,2.84,,3.386e-03,0.03
-5.00000000000e-04,-4.96,-4.24,2.84,,3.387e-03,0.03
-5.00000000000e-04,-4.96,-4.28,2.84,,3.389e-03,0.0308
-5.00000000000e-04,-5,-4.28,2.84,,3.390e-03,0.03
-5.00000000000e-04,-5,-4.32,2.84,,3.392e-03,0.03
-5.00000000000e-04,-5,-4.32,2.84,,3.394e-03,0.03
-5.00000000000e-04,-5,-4.32,2.84,,3.395e-03,0.03
-5.00000000000e-04,-4.96,-4.36,2.84,,3.397e-03,0.03
-5.00000000000e-04,-5,-4.36,2.84,,3.398e-03,0.03
-5.00000000000e-04,-4.96,-4.4,2.84,,3.400e-03,0.03
-5.00000000000e-04,-4.96,-4.4,2.84,,3.402e-03,0.03
-5.00000000000e-04,-4.96,-4.4,2.84,,3.403e-03,0.03
-5.00000000000e-04,-4.96,-4.44,2.84,,3.405e-03,0.03
-5.00000000000e-04,-4.96,-4.44,2.84,,3.406e-03,0.0292
-5.00000000000e-04,-4.96,-4.48,2.84,,3.408e-03,0.03
-5.00000000000e-04,-4.96,-4.48,2.84,,3.410e-03,0.03
-5.00000000000e-04,-4.96,-4.48,2.84,,3.411e-03,0.03
-5.00000000000e-04,-5,-4.52,2.84,,3.413e-03,0.03
-5.00000000000e-04,-5,-4.52,2.84,,3.414e-03,0.03
-5.00000000000e-04,-4.96,-4.52,2.84,,3.416e-03,0.0292
-5.00000000000e-04,-4.96,-4.56,2.84,,3.418e-03,0.03
-5.00000000000e-04,-4.96,-4.56,2.84,,3.419e-03,0.03
-5.00000000000e-04,-4.96,-4.56,2.84,,3.421e-03,0.03
-5.00000000000e-04,-4.96,-4.56,2.84,,3.422e-03,0.03
-5.00000000000e-04,-4.96,-4.6,2.84,,3.424e-03,0.03
-5.00000000000e-04,-5,-4.64,2.84,,3.426e-03,0.03
-5.00000000000e-04,-4.96,-4.6,2.84,,3.427e-03,0.03
-5.00000000000e-04,-4.96,-4.6,2.8,,3.429e-03,0.03
-5.00000000000e-04,-4.96,-4.64,2.84,,3.430e-03,0.0292
-5.00000000000e-04,-4.96,-4.64,2.84,,3.432e-03,0.03
-5.00000000000e-04,-5,-4.68,2.84,,3.434e-03,0.0292
-5.00000000000e-04,-5,-4.68,2.84,,3.435e-03,0.0292
-5.00000000000e-04,-4.96,-4.68,2.84,,3.437e-03,0.03
-5.00000000000e-04,-4.96,-4.68,2.84,,3.438e-03,0.03
-5.00000000000e-04,-4.96,-4.72,2.84,,3.440e-03,0.03
-5.00000000000e-04,-4.96,-4.72,2.84,,3.442e-03,0.03
-5.00000000000e-04,-4.96,-4.72,2.84,,3.443e-03,0.0292
-5.00000000000e-04,-4.96,-4.76,2.84,,3.445e-03,0.0292
-5.00000000000e-04,-4.96,-4.76,2.84,,3.446e-03,0.03
-5.00000000000e-04,-4.96,-4.76,2.84,,3.448e-03,0.0292
-5.00000000000e-04,-4.96,-4.76,2.88,,3.450e-03,0.03
-5.00000000000e-04,-4.96,-4.76,2.84,,3.451e-03,0.03
-5.00000000000e-04,-4.96,-4.76,2.84,,3.453e-03,0.0292
-5.00000000000e-04,-4.96,-4.76,2.84,,3.454e-03,0.03
-5.00000000000e-04,-4.92,-4.76,2.84,,3.456e-03,0.03
-5.00000000000e-04,-4.92,-4.76,2.84,,3.458e-03,0.0292
-5.00000000000e-04,-4.92,-4.72,2.84,,3.459e-03,0.0292
-5.00000000000e-04,-4.92,-4.72,2.84,,3.461e-03,0.0292
-5.00000000000e-04,-4.96,-4.72,2.84,,3.462e-03,0.0292
-5.00000000000e-04,-4.92,-4.72,2.84,,3.464e-03,0.03
-5.00000000000e-04,-4.92,-4.68,2.84,,3.466e-03,0.03
-5.00000000000e-04,-4.96,-4.68,2.84,,3.467e-03,0.0292
-5.00000000000e-04,-4.92,-4.68,2.84,,3.469e-03,0.0292
-5.00000000000e-04,-4.92,-4.64,2.88,,3.470e-03,0.0292
-5.00000000000e-04,-4.92,-4.64,2.84,,3.472e-03,0.0292
-5.00000000000e-04,-4.92,-4.64,2.84,,3.474e-03,0.03
-5.00000000000e-04,-4.92,-4.64,2.84,,3.475e-03,0.0292
-5.00000000000e-04,-4.88,-4.64,2.84,,3.477e-03,0.0292
-5.00000000000e-04,-4.88,-4.64,2.84,,3.478e-03,0.0292
-5.00000000000e-04,-4.88,-4.64,2.88,,3.480e-03,0.0292
-5.00000000000e-04,-4.84,-4.68,2.84,,3.482e-03,0.0292
-5.00000000000e-04,-4.84,-4.68,2.88,,3.483e-03,0.0292
-5.00000000000e-04,-4.8,-4.72,2.84,,3.485e-03,0.0292
-5.00000000000e-04,-4.76,-4.76,2.84,,3.486e-03,0.0292
-5.00000000000e-04,-4.72,-4.76,2.84,,3.488e-03,0.0292
-5.00000000000e-04,-4.68,-4.8,2.84,,3.490e-03,0.0292
-5.00000000000e-04,-4.6,-4.84,2.88,,3.491e-03,0.0292
-5.00000000000e-04,-4.48,-4.84,2.84,,3.493e-03,0.0292
-5.00000000000e-04,-4.32,-4.88,2.88,,3.494e-03,0.0284
-5.00000000000e-04,-3.96,-4.92,2.88,,3.496e-03,0.0292
-5.00000000000e-04,-3.32,-4.92,2.84,,3.498e-03,0.0292
-5.00000000000e-04,-2.36,-4.92,2.88,,3.499e-03,0.0292
-5.00000000000e-04,-1.48,-4.96,2.88,,3.501e-03,0.0292
-5.00000000000e-04,-1.08,-4.96,2.88,,3.502e-03,0.0292
-5.00000000000e-04,-1.16,-5,2.84,,3.504e-03,0.0292
-5.00000000000e-04,-1.6,-5,2.88,,3.506e-03,0.0284
-5.00000000000e-04,-2.28,-5,2.88,,3.507e-03,0.0284
-5.00000000000e-04,-2.88,-5,2.84,,3.509e-03,0.0292
