Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,,Point Format,Y
Horizontal Units,S,,,,Horizontal Units,S
Horizontal Scale,2e-05,,,,Horizontal Scale,0.0002
Sample Interval,0,,,,Sample Interval,1.6e-06
Filter Frequency,2e+08,,,,Filter Frequency,2e+08
Record Length,2000,,,,Record Length,2000
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,,Vertical Offset,0
Vertical Scale,1,1,1,,Vertical Scale,0.02
Label,,,,,Label,
TIME,CH1,CH2,CH3,,TIME,REF1
-5.00000000000e-04,-5,1.04,2.56,,1.464e-03,0.0524
-5.00000000000e-04,-5,1.04,2.56,,1.466e-03,0.0524
-5.00000000000e-04,-5,1.04,2.6,,1.467e-03,0.0524
-5.00000000000e-04,-5,1.04,2.56,,1.469e-03,0.0524
-5.00000000000e-04,-5,1.04,2.56,,1.470e-03,0.0524
-5.00000000000e-04,-5,1,2.56,,1.472e-03,0.0524
-5.00000000000e-04,-5,1,2.56,,1.474e-03,0.0524
-5.00000000000e-04,-5,1,2.56,,1.475e-03,0.0524
-5.00000000000e-04,-5,0.96,2.56,,1.477e-03,0.0524
-5.00000000000e-04,-5,1,2.56,,1.478e-03,0.0524
-5.00000000000e-04,-5,1,2.56,,1.480e-03,0.0524
-5.00000000000e-04,-5,0.96,2.6,,1.482e-03,0.0524
-5.00000000000e-04,-4.96,0.96,2.6,,1.483e-03,0.0524
-5.00000000000e-04,-5,0.96,2.56,,1.485e-03,0.0524
-5.00000000000e-04,-5,0.96,2.56,,1.486e-03,0.0524
-5.00000000000e-04,-5,0.96,2.56,,1.488e-03,0.0524
-5.00000000000e-04,-4.96,0.96,2.6,,1.490e-03,0.0524
-5.00000000000e-04,-5,0.96,2.56,,1.491e-03,0.0516
-5.00000000000e-04,-5,0.96,2.6,,1.493e-03,0.0524
-5.00000000000e-04,-5,0.96,2.56,,1.494e-03,0.0524
-5.00000000000e-04,-5,0.96,2.56,,1.496e-03,0.0524
-5.00000000000e-04,-5,0.92,2.56,,1.498e-03,0.0524
-5.00000000000e-04,-5,0.92,2.56,,1.499e-03,0.0524
-5.00000000000e-04,-4.96,0.92,2.56,,1.501e-03,0.0524
-5.00000000000e-04,-5,0.92,2.56,,1.502e-03,0.0524
-5.00000000000e-04,-5,0.92,2.56,,1.504e-03,0.0524
-5.00000000000e-04,-5,0.88,2.56,,1.506e-03,0.0524
-5.00000000000e-04,-5,0.88,2.56,,1.507e-03,0.0524
-5.00000000000e-04,-5,0.84,2.6,,1.509e-03,0.0524
-5.00000000000e-04,-5,0.84,2.56,,1.510e-03,0.0524
-5.00000000000e-04,-5,0.84,2.6,,1.512e-03,0.0524
-5.00000000000e-04,-4.96,0.84,2.56,,1.514e-03,0.0524
-5.00000000000e-04,-5,0.8,2.6,,1.515e-03,0.0524
-5.00000000000e-04,-5,0.8,2.56,,1.517e-03,0.0516
-5.00000000000e-04,-5,0.76,2.56,,1.518e-03,0.0516
-5.00000000000e-04,-5,0.76,2.6,,1.520e-03,0.0524
-5.00000000000e-04,-5,0.72,2.56,,1.522e-03,0.0524
-5.00000000000e-04,-5,0.72,2.56,,1.523e-03,0.0516
-5.00000000000e-04,-5,0.72,2.6,,1.525e-03,0.0516
-5.00000000000e-04,-4.96,0.68,2.56,,1.526e-03,0.0516
-5.00000000000e-04,-4.96,0.68,2.6,,1.528e-03,0.0516
-5.00000000000e-04,-5,0.68,2.6,,1.530e-03,0.0516
-5.00000000000e-04,-5,0.68,2.6,,1.531e-03,0.0516
-5.00000000000e-04,-5,0.64,2.6,,1.533e-03,0.0516
-5.00000000000e-04,-5,0.64,2.56,,1.534e-03,0.0516
-5.00000000000e-04,-5,0.64,2.6,,1.536e-03,0.0516
-5.00000000000e-04,-5,0.64,2.6,,1.538e-03,0.0516
-5.00000000000e-04,-5,0.6,2.56,,1.539e-03,0.0508
-5.00000000000e-04,-4.96,0.6,2.6,,1.541e-03,0.0516
-5.00000000000e-04,-4.96,0.6,2.6,,1.542e-03,0.0516
-5.00000000000e-04,-5,0.6,2.56,,1.544e-03,0.0516
-5.00000000000e-04,-5,0.56,2.6,,1.546e-03,0.0516
-5.00000000000e-04,-5,0.6,2.6,,1.547e-03,0.0516
-5.00000000000e-04,-5,0.56,2.56,,1.549e-03,0.0516
-5.00000000000e-04,-4.96,0.56,2.56,,1.550e-03,0.0516
-5.00000000000e-04,-5,0.56,2.56,,1.552e-03,0.0508
-5.00000000000e-04,-4.96,0.56,2.6,,1.554e-03,0.0508
-5.00000000000e-04,-5,0.56,2.6,,1.555e-03,0.0516
-5.00000000000e-04,-4.96,0.56,2.6,,1.557e-03,0.0508
-5.00000000000e-04,-5,0.6,2.6,,1.558e-03,0.0508
-5.00000000000e-04,-5,0.56,2.6,,1.560e-03,0.0508
-5.00000000000e-04,-5,0.6,2.6,,1.562e-03,0.0508
-5.00000000000e-04,-5,0.6,2.56,,1.563e-03,0.0508
-5.00000000000e-04,-5,0.6,2.6,,1.565e-03,0.0508
-5.00000000000e-04,-5,0.6,2.6,,1.566e-03,0.0508
-5.00000000000e-04,-5,0.64,2.6,,1.568e-03,0.0508
-5.00000000000e-04,-4.96,0.68,2.6,,1.570e-03,0.0508
-5.00000000000e-04,-5,0.68,2.6,,1.571e-03,0.0508
-5.00000000000e-04,-4.96,0.72,2.6,,1.573e-03,0.0508
-5.00000000000e-04,-5,0.76,2.6,,1.574e-03,0.0508
-5.00000000000e-04,-4.96,0.8,2.6,,1.576e-03,0.0508
-5.00000000000e-04,-4.96,0.84,2.6,,1.578e-03,0.0508
-5.00000000000e-04,-4.96,0.88,2.6,,1.579e-03,0.0508
-5.00000000000e-04,-5,0.96,2.6,,1.581e-03,0.0508
-5.00000000000e-04,-5,1.04,2.6,,1.582e-03,0.0508
-5.00000000000e-04,-4.96,1.12,2.6,,1.584e-03,0.0508
-5.00000000000e-04,-4.96,1.16,2.6,,1.586e-03,0.0508
-5.00000000000e-04,-4.96,1.24,2.6,,1.587e-03,0.0508
-5.00000000000e-04,-4.96,1.32,2.6,,1.589e-03,0.0508
-5.00000000000e-04,-4.96,1.36,2.6,,1.590e-03,0.0508
-5.00000000000e-04,-4.96,1.4,2.6,,1.592e-03,0.0508
-5.00000000000e-04,-4.96,1.4,2.56,,1.594e-03,0.0508
-5.00000000000e-04,-4.96,1.44,2.6,,1.595e-03,0.0508
-5.00000000000e-04,-4.96,1.44,2.6,,1.597e-03,0.05
-5.00000000000e-04,-4.96,1.4,2.6,,1.598e-03,0.0508
-5.00000000000e-04,-4.96,1.36,2.6,,1.600e-03,0.0508
-5.00000000000e-04,-5,1.32,2.6,,1.602e-03,0.0508
-5.00000000000e-04,-4.96,1.28,2.6,,1.603e-03,0.0508
-5.00000000000e-04,-5,1.24,2.6,,1.605e-03,0.0508
-5.00000000000e-04,-5,1.16,2.6,,1.606e-03,0.05
-5.00000000000e-04,-4.96,1.08,2.6,,1.608e-03,0.0508
-5.00000000000e-04,-4.96,1,2.6,,1.610e-03,0.05
-5.00000000000e-04,-5,0.96,2.6,,1.611e-03,0.0508
-5.00000000000e-04,-4.96,0.88,2.6,,1.613e-03,0.0508
-5.00000000000e-04,-4.96,0.8,2.6,,1.614e-03,0.0508
-5.00000000000e-04,-4.96,0.76,2.6,,1.616e-03,0.0508
-5.00000000000e-04,-4.96,0.68,2.6,,1.618e-03,0.05
-5.00000000000e-04,-4.96,0.64,2.6,,1.619e-03,0.0508
-5.00000000000e-04,-5,0.56,2.6,,1.621e-03,0.05
-5.00000000000e-04,-4.96,0.52,2.6,,1.622e-03,0.05
-5.00000000000e-04,-4.96,0.48,2.6,,1.624e-03,0.0508
-5.00000000000e-04,-5,0.44,2.6,,1.626e-03,0.05
-5.00000000000e-04,-5,0.4,2.6,,1.627e-03,0.05
-5.00000000000e-04,-4.96,0.36,2.6,,1.629e-03,0.05
-5.00000000000e-04,-4.96,0.32,2.6,,1.630e-03,0.05
-5.00000000000e-04,-4.96,0.28,2.6,,1.632e-03,0.0492
-5.00000000000e-04,-4.96,0.28,2.6,,1.634e-03,0.05
-5.00000000000e-04,-4.96,0.24,2.6,,1.635e-03,0.05
-5.00000000000e-04,-4.96,0.2,2.6,,1.637e-03,0.05
-5.00000000000e-04,-4.96,0.16,2.6,,1.638e-03,0.05
-5.00000000000e-04,-4.96,0.16,2.6,,1.640e-03,0.05
-5.00000000000e-04,-4.96,0.12,2.6,,1.642e-03,0.05
-5.00000000000e-04,-4.96,0.12,2.6,,1.643e-03,0.05
-5.00000000000e-04,-4.96,0.08,2.6,,1.645e-03,0.05
-5.00000000000e-04,-5,0.08,2.56,,1.646e-03,0.05
-5.00000000000e-04,-4.96,0.08,2.6,,1.648e-03,0.05
-5.00000000000e-04,-4.96,0.04,2.6,,1.650e-03,0.0492
-5.00000000000e-04,-4.96,0,2.6,,1.651e-03,0.05
-5.00000000000e-04,-5,0,2.56,,1.653e-03,0.0492
-5.00000000000e-04,-5,0,2.6,,1.654e-03,0.0492
-5.00000000000e-04,-4.96,0,2.6,,1.656e-03,0.0492
-5.00000000000e-04,-4.96,0,2.6,,1.658e-03,0.0492
-5.00000000000e-04,-4.96,-0.04,2.6,,1.659e-03,0.05
-5.00000000000e-04,-4.96,-0.04,2.6,,1.661e-03,0.05
-5.00000000000e-04,-4.96,-0.04,2.6,,1.662e-03,0.05
-5.00000000000e-04,-4.96,-0.04,2.6,,1.664e-03,0.0492
-5.00000000000e-04,-4.96,-0.08,2.56,,1.666e-03,0.0492
-5.00000000000e-04,-4.96,-0.08,2.6,,1.667e-03,0.0492
-5.00000000000e-04,-4.96,-0.04,2.6,,1.669e-03,0.05
-5.00000000000e-04,-4.96,-0.08,2.6,,1.670e-03,0.0492
-5.00000000000e-04,-4.96,-0.04,2.56,,1.672e-03,0.0492
-5.00000000000e-04,-4.96,-0.04,2.6,,1.674e-03,0.05
-5.00000000000e-04,-4.96,-0.04,2.6,,1.675e-03,0.0492
-5.00000000000e-04,-4.96,-0.04,2.6,,1.677e-03,0.0492
-5.00000000000e-04,-4.96,-0.04,2.6,,1.678e-03,0.0492
-5.00000000000e-04,-4.96,-0.04,2.6,,1.680e-03,0.0492
-5.00000000000e-04,-4.96,-0.04,2.6,,1.682e-03,0.0492
-5.00000000000e-04,-4.96,-0.04,2.6,,1.683e-03,0.0492
-5.00000000000e-04,-4.96,0,2.6,,1.685e-03,0.0492
-5.00000000000e-04,-4.96,0,2.6,,1.686e-03,0.0492
-5.00000000000e-04,-4.96,0.04,2.6,,1.688e-03,0.0492
-5.00000000000e-04,-4.92,0.04,2.6,,1.690e-03,0.0484
-5.00000000000e-04,-4.92,0.08,2.6,,1.691e-03,0.0492
-5.00000000000e-04,-4.92,0.12,2.6,,1.693e-03,0.0492
-5.00000000000e-04,-4.92,0.12,2.6,,1.694e-03,0.0492
-5.00000000000e-04,-4.92,0.16,2.6,,1.696e-03,0.0492
-5.00000000000e-04,-4.88,0.2,2.6,,1.698e-03,0.0492
-5.00000000000e-04,-4.92,0.28,2.6,,1.699e-03,0.0492
-5.00000000000e-04,-4.88,0.32,2.6,,1.701e-03,0.0492
-5.00000000000e-04,-4.88,0.4,2.6,,1.702e-03,0.0492
-5.00000000000e-04,-4.88,0.48,2.6,,1.704e-03,0.0484
